x,y,z,samples
-27.911,-2.133,-9.672,1005031
-27.911,-2.133,-9.672,1005032
-27.911,-2.133,-9.672,1005033
-27.911,-2.133,-9.672,1005034
-27.911,-2.133,-9.672,1005035
-27.911,-2.133,-9.672,1005036
-27.911,-2.133,-9.672,1005037
-27.909,-2.133,-9.673,1005038
-27.911,-2.133,-9.672,1005039
-27.912,-2.133,-9.672,1005040
-27.912,-2.133,-9.672,1005041
-27.912,-2.133,-9.672,1005042
-27.912,-2.133,-9.672,1005043
-27.911,-2.133,-9.672,1005044
-27.911,-2.133,-9.672,1005045
-27.912,-2.133,-9.672,1005046
-27.911,-2.133,-9.672,1005047
-27.911,-2.133,-9.672,1005048
-27.911,-2.133,-9.672,1005049
-27.912,-2.133,-9.672,1005050
-27.912,-2.133,-9.672,1005051
-27.912,-2.133,-9.672,1005052
-27.911,-2.133,-9.672,1005053
-27.912,-2.133,-9.672,1005054
-27.912,-2.133,-9.672,1005055
-27.912,-2.133,-9.672,1005056
-27.912,-2.133,-9.672,1005057
-27.911,-2.133,-9.672,1005058
-27.911,-2.133,-9.672,1005059
-27.911,-2.133,-9.672,1005060
-27.912,-2.133,-9.672,1005061
-27.912,-2.133,-9.672,1005062
-27.912,-2.133,-9.672,1005063
-27.912,-2.133,-9.672,1005064
-27.911,-2.133,-9.672,1005065
-27.911,-2.133,-9.672,1005066
-27.912,-2.133,-9.672,1005067
-27.911,-2.133,-9.672,1005068
-27.912,-2.133,-9.672,1005069
-27.911,-2.133,-9.672,1005070
-27.911,-2.133,-9.672,1005071
-27.912,-2.133,-9.672,1005072
-27.912,-2.133,-9.672,1005073
-27.912,-2.133,-9.672,1005074
-27.912,-2.133,-9.672,1005075
-27.912,-2.133,-9.672,1005076
-27.912,-2.133,-9.672,1005077
-27.911,-2.133,-9.672,1005078
-27.911,-2.133,-9.672,1005079
-27.912,-2.133,-9.672,1005080
-27.912,-2.133,-9.672,1005081
-27.911,-2.133,-9.672,1005082
-27.912,-2.133,-9.672,1005083
-27.912,-2.133,-9.672,1005084
-27.911,-2.133,-9.672,1005085
-27.912,-2.133,-9.672,1005086
-27.911,-2.133,-9.672,1005087
-27.911,-2.133,-9.672,1005088
-0.129,11.807,15.014,1005489
18.87,-2.288,14.656,1005491
-0.881,11.799,15.451,1005492
-13.465,-4.259,10.343,1006145
-13.444,-4.29,10.355,1006146
-13.456,-4.273,10.345,1006147
-13.421,-4.33,10.353,1006148
9.028,-6.064,-15.819,1006301
8.94,-6.115,-15.885,1006302
8.991,-6.001,-15.816,1006303
8.923,-6.071,-15.881,1006304
1.664,-6.719,-21.56,1006371
13.498,-2.064,-18.8,1008468
13.445,-2.075,-18.81,1008469
13.371,-2.095,-18.825,1008470
13.578,-2.048,-18.791,1008471
13.612,-2.021,-18.778,1008472
13.638,-2.026,-18.779,1008473
-24.471,4.566,13.505,1012166
-24.46,2.314,-13.199,1012168
11.516,13.148,-16.547,1012777
11.724,13.193,-16.462,1012778
11.66,13.18,-16.501,1012779
